id,limit_bal,sex,education,marriage,age,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6
218,150000,2,3,2,28,1723,2292,240,683,3486,5390,6876,240,683,3486,5390,1200
219,270000,2,1,1,50,1363,0,6098,3500,7324,9466,0,6098,3500,7324,9466,2296
220,100000,2,3,1,28,30884,29770,30485,32434,32592,33102,0,1825,3100,1300,1500,1771
221,60000,2,3,1,34,6731,7777,9502,9217,9722,9291,1300,2000,0,800,0,0
222,200000,2,1,2,26,199649,202127,198168,189696,192462,194025,7263,7266,7000,7940,7009,7000
223,240000,2,2,2,51,489,4006,696,696,696,696,4006,696,696,696,696,1542
224,460000,2,1,2,28,16560,12570,19403,10063,8628,0,2500,9456,10063,0,0,13182
225,140000,1,2,1,38,135261,137999,141532,75815,65099,66445,4494,5303,2806,1825,1880,1901
226,100000,1,2,2,30,55776,44953,46922,48677,49496,51010,3000,3000,3000,2000,2000,2000
227,120000,1,3,1,39,326,326,326,326,326,326,326,326,326,326,326,326
228,300000,2,1,1,33,356,1313,5273,4345,1106,1322,1320,5273,4598,0,2620,5956
229,20000,1,2,2,26,6078,7015,8036,9597,9294,10242,1200,1140,1700,0,1100,0
230,70000,2,1,2,24,48432,52650,53099,51648,55409,54366,5000,1900,0,4600,0,2300
231,150000,1,1,2,31,3056,834,5487,2003,-222,-222,834,5487,2020,51,0,6000
232,210000,2,1,2,41,194,6479,-200,-200,23560,0,6479,0,0,23760,0,0
233,20000,1,2,1,32,19468,20844,19362,19402,19607,19821,3000,0,850,920,750,300
234,210000,1,1,1,40,1582,326,3632,1967,3952,10330,326,3632,1967,3985,10330,8000
235,140000,2,2,1,52,850,12340,14910,44967,11669,5169,12340,14910,44967,11669,5169,17953
236,50000,2,1,1,47,390,390,390,2728,0,780,390,390,2728,0,780,0
237,200000,2,2,2,25,22701,7940,9855,24091,24583,7354,0,10145,24091,492,7354,9694
238,140000,1,2,1,38,53797,55007,56128,56713,55796,56251,2700,2600,2100,600,1500,4545
239,190000,1,1,1,36,1779,1288,1655,1213,344,221,1288,1655,1213,344,221,28160
240,200000,1,1,2,42,161514,163340,168701,172074,173907,184067,6000,8000,8000,6500,13500,0
241,70000,2,2,2,52,38527,37608,39369,43627,15251,16285,0,2369,5178,0,1285,2308
242,290000,1,2,1,38,24709,291,6161,6200,3892,4072,291,6170,6216,3892,4072,4382
243,20000,1,2,2,23,18781,13255,0,20358,18044,20325,0,0,20358,0,2577,0
244,80000,1,3,1,27,40846,3099,1950,1170,780,780,1149,1000,0,0,0,2440
245,100000,2,2,2,25,87401,93476,91077,92885,94831,96907,7497,0,3324,3442,3653,4449
246,90000,2,2,2,25,81694,78656,78054,78116,75483,72821,3609,5000,4000,3315,7539,5000
247,280000,2,1,2,26,36395,35945,36381,36594,37010,36334,1700,1600,1300,1500,2000,99334
248,250000,2,1,2,29,1181,1545,2319,1856,4356,7026,1545,1000,1500,2500,3000,1379
249,250000,2,2,2,35,238855,241711,205944,210513,214696,219218,8517,7481,8000,7682,7979,13350
250,200000,2,3,2,30,185723,166726,160181,161469,104232,151726,8009,6402,6715,4625,50086,5458
251,290000,2,1,1,40,192432,192512,193999,157500,147150,146936,8000,9008,6000,5000,5200,5100
252,260000,2,2,2,35,188,188,188,188,194,188,188,188,188,194,188,221
253,100000,1,2,2,26,60077,62438,49234,50521,51820,53056,4000,3000,2000,2000,2200,1700
254,80000,2,1,2,24,48597,49259,46209,46574,47230,48282,1800,1800,1800,1800,1800,2000
255,350000,1,2,1,38,70845,69318,71301,75129,71313,68046,0,3500,5500,0,2500,2000
256,270000,1,1,1,37,156346,159223,165480,76144,77944,76577,7000,9000,5000,3000,3000,3000
257,400000,1,1,2,39,50747,49666,52727,51286,55077,55500,0,4500,0,4800,1600,0
258,130000,2,2,1,35,128649,100902,127102,65517,66925,68344,5500,7328,5000,2500,2500,3000
259,230000,2,2,2,28,33057,33698,36652,38421,37459,54778,1500,4767,3000,3092,17411,5000
260,180000,1,2,2,39,3135,2822,1938,5818,2628,2628,2833,2015,5818,2628,0,0
261,150000,2,1,2,25,119788,112824,92456,80532,59866,49472,4728,3610,2377,1714,828,846
262,140000,1,3,2,30,84014,85107,82532,81236,78306,72173,3300,0,6500,0,3000,3000
263,20000,1,2,2,39,13231,14306,15370,16411,16839,17267,1300,1300,1300,700,700,700
264,210000,2,1,2,40,54904,46662,46162,46039,32903,34534,2000,2100,2000,1500,2000,2000
265,140000,2,2,2,27,62986,64498,63093,58650,54946,53773,5000,3000,5000,3000,3000,3000
266,330000,1,1,1,46,7401,4567,6242,24353,20219,23163,4567,6443,24353,10219,13163,5909
267,60000,2,2,2,24,54216,55313,56127,57149,53721,54703,2000,2100,2000,2100,2000,2153
268,180000,2,1,1,29,36537,35655,37767,39065,41967,43189,0,3000,2000,3500,3500,5900
269,30000,2,2,2,22,27762,30392,27688,28134,29591,28883,5000,0,3000,2000,1300,1500
270,70000,2,3,1,35,50834,52163,51060,54200,52734,55903,2460,0,4600,0,4200,2200
271,500000,2,1,2,34,161716,143382,123316,142773,107136,95915,6018,5198,46047,10039,30027,60038
272,140000,2,3,2,26,93384,93443,57219,57621,48323,45082,3514,3000,2000,2000,1636,1686
273,320000,1,1,1,42,19252,21351,20819,20993,19089,16062,4027,5048,10029,10470,7027,10058
274,10000,1,3,2,46,9592,8844,7560,7134,7280,0,1150,1166,2000,146,0,0
275,400000,2,2,1,44,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800
276,500000,1,4,1,53,431243,415022,421996,426103,125218,126650,11000,12602,11000,4711,6000,11000
277,50000,1,2,1,33,50431,45619,33610,19221,18925,19608,1823,1500,1000,1000,1000,1000
278,140000,1,3,1,58,98985,98702,96753,94310,92182,88818,4520,4034,5050,6034,3202,5000
279,90000,1,2,1,28,5580,0,0,0,0,0,0,0,0,0,0,776
280,160000,2,2,2,25,156753,153392,143297,140984,120742,115637,10000,8000,7000,5000,5000,5000
281,260000,2,1,2,33,1381,491,491,1132,1711,1070,493,493,1134,1072,2,3103
282,50000,2,2,1,28,45797,47226,48065,49158,50646,12927,2500,1900,1898,2386,629,792
283,250000,2,1,2,29,1381,1381,7014,1581,36022,34011,1381,7014,1581,36022,10000,10961
284,200000,1,1,1,43,3005,4709,7544,9409,57023,2770,4709,7574,9497,57023,2770,1904
285,70000,2,3,1,47,70798,69923,66375,63639,64973,66391,2500,2350,2300,2360,2500,2300
286,200000,2,4,1,42,149351,108152,87537,67974,35003,35736,3925,3683,2947,1253,1297,1305
287,290000,2,2,2,26,18125,20807,99860,100000,3015,23473,3000,80000,3000,3015,23473,1148
288,140000,2,2,2,25,140286,143649,435,556,92556,94567,6500,436,621,94500,3500,3500
289,30000,2,2,1,35,0,0,12403,17849,4935,6491,0,12403,8359,4935,3000,1000
290,130000,2,4,1,27,133792,127622,129795,122416,124653,126995,5000,5000,5000,5000,5000,4000
291,140000,2,2,1,37,58081,51013,54343,27537,9751,12569,5000,5000,5000,3000,3000,5000
292,90000,2,3,1,37,62460,63354,64528,65815,67350,68605,2500,2300,2281,2519,2451,2300
293,460000,1,1,1,39,2495,2495,2495,2495,2495,2495,0,0,0,0,0,0
294,170000,2,3,2,42,77795,66420,83733,89389,97696,101063,5000,20000,8000,10000,5000,4000
295,150000,1,2,1,35,129564,125063,118843,137751,141330,146389,10076,10050,30000,5000,6088,5150
296,50000,2,2,1,30,29826,29068,29778,30370,31003,32291,0,1496,1088,1123,1800,2200
