id,default
614,0.266
615,0.492
616,0.252
617,0.498
618,0.49
619,0.622
620,0.286
621,0.376
622,0.234
623,0.448
624,0.188
625,0.68
626,0.066
627,0.098
628,0.224
629,0.272
630,0.03
631,0.304
632,0.252
633,0.456
634,0.416
635,0.252
636,0.252
637,0.36
638,0.512
639,0.518
640,0.232
641,0.166
642,0.612
643,0.434
644,0.304
645,0.28
646,0.226
647,0.468
648,0.492
649,0.066
650,0.376
651,0.182
652,0.154
653,0.248
654,0.048
655,0.044
656,0.346
657,0.544
658,0.374
659,0.262
660,0.146
661,0.148
662,0.228
663,0.186
664,0.308
665,0.442
666,0.402
667,0.616
668,0.212
669,0.142
670,0.242
671,0.64
672,0.078
673,0.196
674,0.364
675,0.182
676,0.104
677,0.338
678,0.58
679,0.34
680,0.376
681,0.626
682,0.404
683,0.576
684,0.07
685,0.21
686,0.24
687,0.172
688,0.32
689,0.224
690,0.692
691,0.488
692,0.318
693,0.592
694,0.138
695,0.316
696,0.3
697,0.094
698,0.268
699,0.346
700,0.164
701,0.38
702,0.53
703,0.27
704,0.242
705,0.246
706,0.548
707,0.06
708,0.124
709,0.18
710,0.252
711,0.19
712,0.06
713,0.172
714,0.146
715,0.312
716,0.448
717,0.456
718,0.332
719,0.274
720,0.338
721,0.268
722,0.286
723,0.262
724,0.336
725,0.338
726,0.454
727,0.234
728,0.596
729,0.274
730,0.246
731,0.146
732,0.142
733,0.388
734,0.378
735,0.402
736,0.32
737,0.306
738,0.454
739,0.614
740,0.23
741,0.218
742,0.176
743,0.242
744,0.504
745,0.38
746,0.274
747,0.098
748,0.228
749,0.34
750,0.388
751,0.254
752,0.144
753,0.292
754,0.636
755,0.422
756,0.114
757,0.484
758,0.276
759,0.426
760,0.204
761,0.336
762,0.194
763,0.436
764,0.43
765,0.208
766,0.324
767,0.268
768,0.106
769,0.288
770,0.174
771,0.09
772,0.384
773,0.248
774,0.29
775,0.376
776,0.248
777,0.278
778,0.13
779,0.51
780,0.172
781,0.156
782,0.374
783,0.532
784,0.372
785,0.194
786,0.842
787,0.458
788,0.192
789,0.468
790,0.06
791,0.066
792,0.296
793,0.712
794,0.45
795,0.118
796,0.626
797,0.536
798,0.212
799,0.496
800,0.342
801,0.224
802,0.138
803,0.402
804,0.298
805,0.166
806,0.628
807,0.19
808,0.516
809,0.556
810,0.4
811,0.14
812,0.026
813,0.48
814,0.286
815,0.65
816,0.124
817,0.47
818,0.516
819,0.128
820,0.248
821,0.304
822,0.434
823,0.5
824,0.538
825,0.156
826,0.546
827,0.074
828,0.036
829,0.136
830,0.512
831,0.734
832,0.37
833,0.482
834,0.712
835,0.278
836,0.286
837,0.32
838,0.384
839,0.146
840,0.268
841,0.274
842,0.324
843,0.358
844,0.31
845,0.296
846,0.06
847,0.36
848,0.326
849,0.04
850,0.296
851,0.33
852,0.248
853,0.232
854,0.422
855,0.312
856,0.106
857,0.214
858,0.044
859,0.122
860,0.166
861,0.39
862,0.234
863,0.1
864,0.49
865,0.304
866,0.4
867,0.526
868,0.662
869,0.166
870,0.212
871,0.268
872,0.592
873,0.196
874,0.404
875,0.518
876,0.546
877,0.602
878,0.196
879,0.27
880,0.038
881,0.248
882,0.324
883,0.242
884,0.2
885,0.032
886,0.64
887,0.464
888,0.266
889,0.218
890,0.184
891,0.256
892,0.484
893,0.5
894,0.396
895,0.586
896,0.118
897,0.532
898,0.114
899,0.04
900,0.156
901,0.344
902,0.138
903,0.374
904,0.656
905,0.274
906,0.312
907,0.202
908,0.036
909,0.574
910,0.35
911,0.388
912,0.386
913,0.472
914,0.274
915,0.168
916,0.466
917,0.338
918,0.024
919,0.232
920,0.258
921,0.23
922,0.596
923,0.256
924,0.206
925,0.224
926,0.47
927,0.21
928,0.302
929,0.216
930,0.206
931,0.368
932,0.274
933,0.39
934,0.676
935,0.286
936,0.192
937,0.586
938,0.154
939,0.148
940,0.13
941,0.298
942,0.474
943,0.074
944,0.546
945,0.036
946,0.544
947,0.67
948,0.248
949,0.33
950,0.682
951,0.162
952,0.192
953,0.378
954,0.186
955,0.528
956,0.134
957,0.156
958,0.57
959,0.316
960,0.294
961,0.444
962,0.348
963,0.392
964,0.17
965,0.26
966,0.442
967,0.366
968,0.464
969,0.302
970,0.208
971,0.376
972,0.236
973,0.19
974,0.232
975,0.552
976,0.374
977,0.728
978,0.502
979,0.386
980,0.392
981,0.33
982,0.658
983,0.42
984,0.04
985,0.102
986,0.268
987,0.094
988,0.136
989,0.292
990,0.32
991,0.646
992,0.336
993,0.288
994,0.396
995,0.404
996,0.204
997,0.28
998,0.184
999,0.242
1000,0.24
1001,0.62
1002,0.818
1003,0.25
1004,0.378
1005,0.186
1006,0.332
1007,0.216
1008,0.402
1009,0.498
1010,0.396
1011,0.278
1012,0.206
1013,0.048
1014,0.088
1015,0.134
1016,0.184
1017,0.51
1018,0.51
1019,0.454
1020,0.708
1021,0.462
1022,0.166
1023,0.322
1024,0.284
1025,0.716
1026,0.358
1027,0.516
1028,0.174
1029,0.07
1030,0.188
1031,0.298
1032,0.596
1033,0.454
1034,0.334
1035,0.178
1036,0.496
1037,0.672
1038,0.266
1039,0.262
1040,0.65
1041,0.472
1042,0.174
1043,0.26
1044,0.288
1045,0.348
1046,0.12
1047,0.462
1048,0.192
1049,0.31
1050,0.154
1051,0.542
1052,0.242
1053,0.072
1054,0.468
1055,0.256
1056,0.114
1057,0.17
1058,0.524
1059,0.35
1060,0.536
1061,0.232
1062,0.542
1063,0.056
1064,0.232
1065,0.614
1066,0.584
1067,0.334
1068,0.166
1069,0.326
1070,0.406
1071,0.494
1072,0.208
1073,0.154
1074,0.332
1075,0.736
1076,0.272
1077,0.27
1078,0.282
1079,0.274
1080,0.362
1081,0.296
1082,0.262
1083,0.65
1084,0.554
1085,0.426
1086,0.11
1087,0.512
1088,0.258
1089,0.36
1090,0.56
1091,0.554
1092,0.342
1093,0.388
1094,0.044
1095,0.48
1096,0.17
1097,0.164
1098,0.474
1099,0.216
1100,0.176
1101,0.21
1102,0.368
1103,0.226
1104,0.466
1105,0.652
1106,0.082
1107,0.252
1108,0.52
1109,0.36
1110,0.48
1111,0.064
1112,0.038
1113,0.45
1114,0.438
1115,0.292
1116,0.28
1117,0.332
1118,0.174
1119,0.34
1120,0.204
1121,0.634
1122,0.202
1123,0.588
1124,0.256
1125,0.304
1126,0.352
1127,0.45
1128,0.102
1129,0.206
1130,0.276
1131,0.642
1132,0.222
1133,0.16
1134,0.364
1135,0.542
1136,0.432
1137,0.128
1138,0.382
1139,0.606
1140,0.356
1141,0.646
1142,0.292
1143,0.698
1144,0.54
1145,0.454
1146,0.372
1147,0.488
1148,0.172
1149,0.15
1150,0.524
1151,0.232
1152,0.324
1153,0.36
1154,0.408
1155,0.586
1156,0.502
1157,0.384
1158,0.202
1159,0.104
1160,0.666
1161,0.074
1162,0.094
1163,0.258
1164,0.172
1165,0.298
1166,0.634
1167,0.254
1168,0.328
1169,0.444
1170,0.49
1171,0.208
1172,0.354
1173,0.59
1174,0.412
1175,0.596
1176,0.104
1177,0.604
1178,0.312
1179,0.39
1180,0.096
1181,0.126
1182,0.314
1183,0.332
1184,0.39
1185,0.216
1186,0.382
1187,0.442
1188,0.17
1189,0.402
1190,0.22
1191,0.276
1192,0.184
1193,0.272
1194,0.304
1195,0.362
1196,0.18
1197,0.464
1198,0.342
1199,0.358
1200,0.49
1201,0.166
1202,0.386
1203,0.722
1204,0.48
1205,0.182
1206,0.628
1207,0.334
1208,0.414
1209,0.184
1210,0.102
1211,0.318
1212,0.16
1213,0.018
1214,0.264
1215,0.448
1216,0.424
1217,0.154
1218,0.608
1219,0.266
1220,0.346
1221,0.094
1222,0.054
1223,0.308
1224,0.208
1225,0.334
1226,0.16
1227,0.032
1228,0.282
1229,0.708
1230,0.122
1231,0.408
1232,0.32
1233,0.546
1234,0.224
1235,0.24
1236,0.182
1237,0.25
1238,0.138
1239,0.564
1240,0.096
1241,0.692
1242,0.08
1243,0.18
1244,0.496
1245,0.15
1246,0.082
1247,0.42
1248,0.234
1249,0.292
1250,0.488
1251,0.27
1252,0.696
1253,0.364
1254,0.186
1255,0.138
1256,0.106
1257,0.442
1258,0.398
1259,0.31
1260,0.196
1261,0.094
1262,0.176
1263,0.116
1264,0.354
1265,0.21
1266,0.246
1267,0.348
1268,0.06
1269,0.562
1270,0.422
1271,0.52
1272,0.334
1273,0.184
1274,0.504
1275,0.302
1276,0.434
1277,0.08
1278,0.4
1279,0.72
1280,0.26
1281,0.702
1282,0.436
1283,0.11
1284,0.332
1285,0.12
1286,0.116
1287,0.356
1288,0.392
1289,0.406
1290,0.188
1291,0.632
1292,0.302
1293,0.69
1294,0.48
1295,0.258
1296,0.432
1297,0.608
1298,0.39
1299,0.42
1300,0.328
1301,0.446
1302,0.37
1303,0.392
1304,0.69
1305,0.318
1306,0.644
1307,0.202
1308,0.456
1309,0.33
1310,0.24
1311,0.122
1312,0.23
1313,0.286
1314,0.26
1315,0.346
1316,0.166
1317,0.286
1318,0.056
1319,0.174
1320,0.386
1321,0.742
1322,0.328
1323,0.356
1324,0.512
1325,0.344
1326,0.356
1327,0.29
1328,0.19
1329,0.13
1330,0.056
1331,0.28
1332,0.448
1333,0.65
1334,0.198
1335,0.254
1336,0.202
1337,0.552
1338,0.126
1339,0.318
1340,0.34
1341,0.248
1342,0.106
1343,0.51
1344,0.32
1345,0.084
1346,0.194
1347,0.662
1348,0.454
1349,0.548
1350,0.698
1351,0.218
1352,0.266
1353,0.34
1354,0.672
1355,0.114
1356,0.466
1357,0.356
1358,0.488
1359,0.072
1360,0.448
1361,0.776
1362,0.568
1363,0.142
1364,0.376
1365,0.144
1366,0.232
1367,0.27
1368,0.124
1369,0.644
1370,0.104
1371,0.31
1372,0.318
1373,0.314
1374,0.298
1375,0.524
1376,0.378
1377,0.604
1378,0.676
1379,0.1
1380,0.614
1381,0.616
1382,0.106
1383,0.174
1384,0.69
1385,0.392
1386,0.326
1387,0.186
1388,0.37
1389,0.45
1390,0.274
1391,0.314
1392,0.352
1393,0.366
1394,0.426
1395,0.162
1396,0.202
1397,0.528
1398,0.174
1399,0.322
1400,0.118
1401,0.09
1402,0.374
1403,0.292
1404,0.162
1405,0.016
1406,0.014
1407,0.352
1408,0.108
1409,0.354
1410,0.104
1411,0.106
1412,0.268
1413,0.138
1414,0.07
1415,0.226
1416,0.664
1417,0.182
1418,0.242
1419,0.448
1420,0.84
1421,0.226
1422,0.38
1423,0.18
1424,0.35
1425,0.252
1426,0.11
1427,0.336
1428,0.3
1429,0.152
1430,0.25
1431,0.332
1432,0.514
1433,0.256
1434,0.298
1435,0.532
1436,0.324
1437,0.174
1438,0.106
1439,0.684
1440,0.384
1441,0.13
1442,0.708
1443,0.182
1444,0.514
1445,0.694
1446,0.368
1447,0.148
1448,0.398
1449,0.22
1450,0.594
1451,0.294
1452,0.256
1453,0.152
1454,0.304
1455,0.38
1456,0.596
1457,0.672
1458,0.584
1459,0.264
1460,0.046
1461,0.16
1462,0.632
1463,0.18
1464,0.118
1465,0.266
1466,0.25
1467,0.328
1468,0.396
1469,0.242
1470,0.234
1471,0.106
1472,0.412
1473,0.334
1474,0.394
1475,0.052
1476,0.144
1477,0.412
1478,0.292
1479,0.194
1480,0.516
1481,0.296
1482,0.402
1483,0.336
1484,0.052
1485,0.362
1486,0.286
1487,0.428
1488,0.16
1489,0.264
1490,0.052
1491,0.394
1492,0.396
1493,0.174
1494,0.216
1495,0.132
1496,0.134
1497,0.546
1498,0.242
1499,0.192
1500,0.098
1501,0.408
1502,0.062
1503,0.524
1504,0.318
1505,0.068
1506,0.256
1507,0.706
1508,0.266
1509,0.578
1510,0.308
1511,0.448
1512,0.282
1513,0.608
1514,0.126
1515,0.374
1516,0.342
1517,0.578
1518,0.576
1519,0.208
1520,0.372
1521,0.358
1522,0.324
1523,0.426
1524,0.064
1525,0.638
1526,0.212
1527,0.14
1528,0.308
1529,0.304
1530,0.544
1531,0.404
1532,0.082
1533,0.346
1534,0.32
1535,0.158
1536,0.284
1537,0.498
1538,0.276
1539,0.174
1540,0.558
1541,0.206
1542,0.564
1543,0.77
1544,0.42
1545,0.322
1546,0.28
1547,0.216
1548,0.082
1549,0.404
1550,0.324
1551,0.384
1552,0.248
1553,0.452
1554,0.22
1555,0.344
1556,0.47
1557,0.172
1558,0.616
1559,0.2
1560,0.704
1561,0.326
1562,0.438
1563,0.268
1564,0.368
1565,0.166
1566,0.098
1567,0.202
1568,0.388
1569,0.11
1570,0.564
1571,0.336
1572,0.098
1573,0.488
1574,0.38
1575,0.244
1576,0.328
1577,0.478
1578,0.518
1579,0.062
1580,0.09
1581,0.716
1582,0.186
1583,0.604
1584,0.132
1585,0.528
1586,0.252
1587,0.366
1588,0.23
1589,0.224
1590,0.322
1591,0.196
1592,0.294
1593,0.294
1594,0.244
1595,0.51
1596,0.564
1597,0.392
1598,0.402
1599,0.36
1600,0.172
1601,0.296
1602,0.056
1603,0.284
1604,0.24
1605,0.666
1606,0.48
1607,0.604
1608,0.268
1609,0.458
1610,0.24
1611,0.258
1612,0.248
1613,0.076
1614,0.43
1615,0.512
1616,0.294
1617,0.244
1618,0.154
1619,0.094
1620,0.25
1621,0.37
1622,0.53
1623,0.812
1624,0.33
1625,0.27
1626,0.342
1627,0.43
1628,0.244
1629,0.254
1630,0.502
1631,0.23
1632,0.252
1633,0.142
1634,0.2
1635,0.502
1636,0.072
1637,0.776
1638,0.188
1639,0.256
1640,0.456
1641,0.314
1642,0.27
1643,0.18
1644,0.452
1645,0.258
1646,0.574
1647,0.184
1648,0.208
1649,0.544
1650,0.444
1651,0.278
1652,0.17
1653,0.25
1654,0.618
1655,0.178
1656,0.422
1657,0.432
1658,0.382
1659,0.188
1660,0.214
1661,0.352
1662,0.622
1663,0.41
1664,0.586
1665,0.138
1666,0.296
1667,0.254
1668,0.186
1669,0.154
1670,0.474
1671,0.288
1672,0.554
1673,0.112
1674,0.376
1675,0.26
1676,0.656
1677,0.15
1678,0.244
1679,0.188
1680,0.528
1681,0.242
1682,0.178
1683,0.424
1684,0.334
1685,0.208
1686,0.338
1687,0.134
1688,0.288
1689,0.146
1690,0.256
1691,0.31
1692,0.176
1693,0.22
1694,0.5
1695,0.28
1696,0.25
1697,0.574
1698,0.452
1699,0.302
1700,0.05
1701,0.294
1702,0.144
1703,0.156
1704,0.11
1705,0.276
1706,0.266
1707,0.204
1708,0.216
1709,0.228
1710,0.506
1711,0.25
1712,0.178
1713,0.458
1714,0.23
1715,0.39
1716,0.546
1717,0.528
1718,0.438
1719,0.36
1720,0.228
1721,0.392
1722,0.352
1723,0.264
1724,0.37
1725,0.224
1726,0.392
1727,0.508
1728,0.57
1729,0.324
1730,0.44
1731,0.35
1732,0.588
1733,0.642
1734,0.644
1735,0.208
1736,0.238
1737,0.166
1738,0.336
1739,0.264
1740,0.43
1741,0.6
1742,0.296
1743,0.062
1744,0.072
1745,0.386
1746,0.454
1747,0.4
1748,0.498
1749,0.3
1750,0.41
1751,0.17
1752,0.412
1753,0.194
1754,0.21
1755,0.362
1756,0.452
1757,0.542
1758,0.328
1759,0.146
1760,0.314
1761,0.702
1762,0.24
1763,0.608
1764,0.648
1765,0.092
1766,0.478
1767,0.378
1768,0.302
1769,0.5
1770,0.64
1771,0.548
1772,0.268
1773,0.48
1774,0.366
1775,0.224
1776,0.57
1777,0.346
1778,0.322
1779,0.218
1780,0.516
1781,0.096
1782,0.332
1783,0.254
1784,0.138
1785,0.112
1786,0.234
1787,0.194
1788,0.332
1789,0.062
1790,0.566
1791,0.432
1792,0.616
1793,0.134
1794,0.188
1795,0.606
1796,0.236
1797,0.368
1798,0.454
1799,0.286
1800,0.468
1801,0.272
1802,0.314
1803,0.248
1804,0.314
1805,0.46
1806,0.08
1807,0.452
1808,0.36
1809,0.362
1810,0.41
1811,0.418
1812,0.018
1813,0.406
1814,0.52
1815,0.444
1816,0.46
1817,0.318
1818,0.158
1819,0.174
1820,0.254
1821,0.226
1822,0.312
1823,0.278
1824,0.388
1825,0.336
1826,0.222
1827,0.488
1828,0.572
1829,0.33
1830,0.264
1831,0.096
1832,0.434
1833,0.238
1834,0.52
1835,0.328
1836,0.066
1837,0.346
1838,0.504
1839,0.124
1840,0.216
1841,0.114
1842,0.102
1843,0.082
1844,0.232
1845,0.63
1846,0.29
1847,0.39
1848,0.304
1849,0.096
1850,0.15
1851,0.076
1852,0.184
1853,0.188
1854,0.348
1855,0.48
1856,0.244
1857,0.202
1858,0.234
1859,0.372
1860,0.052
1861,0.704
1862,0.356
1863,0.282
1864,0.402
1865,0.184
1866,0.04
1867,0.416
1868,0.146
1869,0.316
1870,0.388
1871,0.304
1872,0.022
1873,0.366
1874,0.202
1875,0.124
1876,0.188
1877,0.226
1878,0.272
1879,0.118
1880,0.428
1881,0.212
1882,0.484
1883,0.402
1884,0.422
1885,0.474
1886,0.242
1887,0.348
1888,0.112
1889,0.422
1890,0.348
1891,0.156
1892,0.152
1893,0.304
1894,0.184
1895,0.39
1896,0.296
1897,0.198
1898,0.402
1899,0.222
1900,0.144
1901,0.756
1902,0.244
1903,0.308
1904,0.38
1905,0.372
1906,0.326
1907,0.436
1908,0.26
1909,0.588
1910,0.452
1911,0.378
1912,0.16
1913,0.726
1914,0.106
1915,0.224
1916,0.292
1917,0.476
1918,0.57
1919,0.09
1920,0.484
1921,0.246
1922,0.13
1923,0.232
1924,0.192
1925,0.406
1926,0.468
1927,0.118
1928,0.57
1929,0.05
1930,0.366
1931,0.606
1932,0.414
1933,0.094
1934,0.092
1935,0.146
1936,0.48
1937,0.358
1938,0.446
1939,0.112
1940,0.18
1941,0.1
1942,0.476
1943,0.528
1944,0.412
1945,0.568
1946,0.054
1947,0.326
1948,0.496
1949,0.506
1950,0.36
1951,0.19
1952,0.396
1953,0.362
1954,0.28
1955,0.436
1956,0.078
1957,0.68
1958,0.18
1959,0.268
1960,0.26
1961,0.29
1962,0.168
1963,0.246
1964,0.332
1965,0.658
1966,0.638
1967,0.372
1968,0.526
1969,0.46
1970,0.454
1971,0.202
1972,0.426
1973,0.256
1974,0.25
1975,0.2
1976,0.418
1977,0.71
1978,0.292
1979,0.21
1980,0.512
1981,0.508
1982,0.566
1983,0.348
1984,0.484
1985,0.232
1986,0.192
1987,0.106
1988,0.076
1989,0.232
1990,0.174
1991,0.198
1992,0.478
1993,0.398
1994,0.476
1995,0.662
1996,0.28
1997,0.146
1998,0.426
1999,0.546
2000,0.212
2001,0.244
2002,0.57
2003,0.36
2004,0.194
2005,0.236
2006,0.26
2007,0.468
2008,0.25
2009,0.572
2010,0.464
2011,0.352
2012,0.534
2013,0.196
2014,0.508
2015,0.216
2016,0.09
2017,0.384
2018,0.466
2019,0.354
2020,0.624
2021,0.27
2022,0.294
2023,0.094
2024,0.474
2025,0.168
2026,0.282
2027,0.552
2028,0.326
2029,0.45
2030,0.3
2031,0.184
2032,0.614
2033,0.356
2034,0.338
2035,0.362
2036,0.63
2037,0.408
2038,0.468
2039,0.498
2040,0.248
2041,0.304
2042,0.196
2043,0.25
2044,0.506
2045,0.48
2046,0.122
2047,0.304
2048,0.324
2049,0.514
2050,0.468
2051,0.594
2052,0.302
2053,0.166
2054,0.21
2055,0.118
2056,0.33
2057,0.626
2058,0.356
2059,0.39
2060,0.308
2061,0.16
2062,0.392
2063,0.098
2064,0.422
2065,0.298
2066,0.45
2067,0.194
2068,0.156
2069,0.286
2070,0.192
2071,0.308
2072,0.074
2073,0.394
2074,0.084
2075,0.674
2076,0.228
2077,0.296
2078,0.152
2079,0.336
2080,0.084
2081,0.644
2082,0.074
2083,0.39
2084,0.392
2085,0.36
2086,0.256
2087,0.544
2088,0.346
2089,0.182
2090,0.22
2091,0.222
2092,0.282
2093,0.256
2094,0.458
2095,0.63
2096,0.406
2097,0.154
2098,0.262
2099,0.198
2100,0.282
2101,0.366
2102,0.09
2103,0.514
2104,0.088
2105,0.324
2106,0.36
2107,0.402
2108,0.056
2109,0.512
2110,0.18
2111,0.34
2112,0.254
2113,0.134
2114,0.206
2115,0.484
2116,0.32
2117,0.236
2118,0.344
2119,0.666
2120,0.164
2121,0.134
2122,0.182
2123,0.186
2124,0.324
2125,0.234
2126,0.356
2127,0.62
2128,0.55
2129,0.32
2130,0.14
2131,0.206
2132,0.586
2133,0.426
2134,0.204
2135,0.532
2136,0.286
2137,0.32
2138,0.464
2139,0.588
2140,0.414
2141,0.21
